PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Willingham, T; Henderson, C; Kiel, B; Haque, MS; Atkison, T			ACM	Willingham, Thomas; Henderson, Cody; Kiel, Blair; Haque, Md Shariful; Atkison, Travis			Testing Vulnerabilities in Bluetooth Low Energy	ACMSE '18: PROCEEDINGS OF THE ACMSE 2018 CONFERENCE			English	Proceedings Paper	Annual ACM Southeast Conference (ACMSE)	MAR 29-31, 2018	Eastern Kentucky Univ, Richmond, KY	Assoc Comp Machinery	Eastern Kentucky Univ	Bluetooth Low Energy; Bluetooth Vulnerabilities; Security		Bluetooth Low Energy (BTLE) is pervasive in technology throughout all areas of our lives. In this research effort, experiments are performed to discover vulnerabilities in the Bluetooth protocol and given the right technology determine exploitation. Using a Bluetooth keyboard, practical examples of the Bluetooth Low Energy protocol were able to be provided. Because of the results garnered, it is recommended that Bluetooth Low Energy not be used for any connections that may transmit sensitive data, or with devices that may have access to sensitive networks.	[Willingham, Thomas; Henderson, Cody; Kiel, Blair; Haque, Md Shariful; Atkison, Travis] Univ Alabama, Tuscaloosa, AL 35401 USA	University of Alabama System; University of Alabama Tuscaloosa	Atkison, T (corresponding author), Univ Alabama, Tuscaloosa, AL 35401 USA.	twillingham@cs.ua.edu; cthenderson@crimson.ua.edu; jbkiel@cs.ua.edu; mshaque@crimson.ua.edu; atkison@cs.ua.edu							20	2	2	0	3	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-5696-1				2018										10.1145/3190645.3190693	http://dx.doi.org/10.1145/3190645.3190693			7	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BS1ZS					2023-06-19	WOS:000697984300010
J	Yang, D; Wang, J; Wang, MM; Han, HZ; Zhang, YL				Yang, Deng; Wang, Jian; Wang, Minmin; Han, Houzeng; Zhang, Yalei			Accuracy analysis of Bluetooth-Low-Energy ranging and positioning in NLOS environment	INTERNATIONAL JOURNAL OF IMAGE AND DATA FUSION			English	Article						Bluetooth Low Energy; accuracy analysis; Bluetooth-Low-Energy ranging; Bluetooth-Low-Energy positioning; NLOS environment		Aiming at the low accuracy of Bluetooth-Low-Energy ranging and positioning in NLOS environment, a non-line of sight (NLOS) Bluetooth-Low-Energy ranging method based on the NLOS Bluetooth-Low-Energy ranging model and an NLOS Bluetooth-Low-Energy positioning algorithm based on the TLS method and the triangular positioning algorithm are proposed. Firstly, an line-of-sight (LOS) Bluetooth-Low-Energy ranging model is established by RSSI value and actual distance between the Bluetooth-Low-Energy beacon and the terminal equipment. Secondly, based on the LOS Bluetooth-Low-Energy ranging model and the threshold-corrected RSSI peak, an NLOS Bluetooth-Low-Energy ranging model is established. Thirdly, the NLOS RSSI value is processed by the NLOS Bluetooth-Low-Energy ranging model to obtain the optimal ranging value. Finally, high precision positioning coordinates can be obtained by using NLOS Bluetooth-Low-Energy positioning algorithm and optimal Bluetooth-Low-Energy ranging. In this paper, two experiments are carried out, and the experimental results show that: in the range of 7 m, the average ranging accuracy of the improved NLOS Bluetooth-Low-Energy ranging method is 0.37 m, which is improved 49.19% when compared to the traditional method's results. The average positioning accuracy is 0.4 m using the positioning algorithm proposed in this paper. Therefore, in NLOS environment, the proposed ranging method and positioning algorithm can significantly improve the accuracy of Bluetooth-Low-Energy ranging and positioning.	[Yang, Deng; Wang, Jian; Wang, Minmin; Han, Houzeng; Zhang, Yalei] Beijing Univ Civil Engn & Architecture, Sch Geomat & Urban Spatial Informat, Beijing, Peoples R China	Beijing University of Civil Engineering & Architecture	Wang, J (corresponding author), Beijing Univ Civil Engn & Architecture, Sch Geomat & Urban Spatial Informat, Beijing, Peoples R China.	wangjian@bucea.edu.cn			Beijing University of Civil Engineering and Architecture Graduate Innovation Project [PG2019054]; National Natural Science Foundation of China [41874029]	Beijing University of Civil Engineering and Architecture Graduate Innovation Project; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))	This work was supported by the Beijing University of Civil Engineering and Architecture Graduate Innovation Project [grant number PG2019054] and The National Natural Science Foundation of China [grant number 41874029].		28	2	3	3	18	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1947-9832	1947-9824		INT J IMAGE DATA FUS	Int. J. Image Data Fusion	OCT 1	2020	11	4			SI		356	374		10.1080/19479832.2020.1752314	http://dx.doi.org/10.1080/19479832.2020.1752314		MAY 2020	19	Remote Sensing	Emerging Sources Citation Index (ESCI)	Remote Sensing	PA5WE					2023-06-19	WOS:000541589900001
C	de Sousa, FS; Capovilla, CE; Casella, IRS			IEEE	de Sousa, Fernando S.; Capovilla, Carlos E.; Casella, Ivan R. S.			Analysis of Bluetooth Low Energy Technology in Indoor Environments	2016 IEEE INTERNATIONAL SYMPOSIUM ON CONSUMER ELECTRONICS - 20TH IEEE ISCE	IEEE International Symposium on Consumer Electronics		English	Proceedings Paper	20th IEEE International Symposium on Consumer Electronics (IEEE ISCE)	SEP 28-30, 2016	Sao Paulo, BRAZIL	IEEE, IEEE Consumer Elect Soc		Bluetooth Low Energy; OPNET		The aim of this study is to analyze the impact of the propagation channel in the performance of a Bluetooth low energy wireless network operating in indoor environments. The Bluetooth low energy model were developed in OPNET taking into account the main network low layers (physical, medium access and control, data link), turning possible an accurate analysis of the network behavior during the exchange of data packets between devices. The results of practical experiments were analyzed and added to the computational modeling in order to obtain more realistic results. Simulation analyses were performed for different distances and propagation conditions considering the shadowing effect.	[de Sousa, Fernando S.; Capovilla, Carlos E.; Casella, Ivan R. S.] Univ Fed ABC, Santo Andre, Brazil	Universidade Federal do ABC (UFABC)	de Sousa, FS (corresponding author), Univ Fed ABC, Santo Andre, Brazil.	f.simplicio@ufabc.edu.br; carlos.capovilla@ufabc.edu.br; ivan.casella@ufabc.edu.br	Capovilla, Carlos Eduardo/D-7570-2016; Casella, Ivan Roberto Santana/S-2233-2019	Capovilla, Carlos Eduardo/0000-0002-2285-909X; Casella, Ivan Roberto Santana/0000-0003-4770-2758					3	3	3	2	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2158-3994		978-1-5090-1550-4	I SYMP CONSUM ELECTR			2016							55	56						2	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BG8DL					2023-06-19	WOS:000392237400028
S	Moskala, M; Kloczko, P; Cieplucha, M; Pleskacz, W		Stamenkovic, Z; Pleskacz, W; Raik, J; Verhaus, HT		Moskala, Maciej; Kloczko, Patryk; Cieplucha, Marek; Pleskacz, Witold			UVM-based Verification of Bluetooth Low Energy Controller	2015 IEEE 18TH INTERNATIONAL SYMPOSIUM ON DESIGN AND DIAGNOSTICS OF ELECTRONIC CIRCUITS & SYSTEMS (DDECS 2015)	IEEE International Symposium on Design and Diagnostics of Electronic Circuits & Systems		English	Article; Proceedings Paper	IEEE 18th International Symposium on Design and Diagnostics of Electronic Circuits and Systems (DDECS)	APR 22-24, 2015	Belgrade, SERBIA	IEEE, IEEE Comp Soc, Innovat High Performance Microelectron, Univ Belgrade, Sch Elect Engn, Univ Nis, Fac Elect Engn, Cadence Design Syst Inc, Elsys Eastern Europe, Test Technol Tech Council, IEEE Council Elect Design Automat		Universal Verification Methodology (UVM); Bluetooth Low Energy; Functional Verification		This paper presents a verification architecture of the Bluetooth Low Energy Link Layer Controller. The tested controller is a hardware implementation of the lower layers, described in the Bluetooth Low Energy Specification. The designed testbench uses a UVM methodology and constrained random verification techniques to meet the expected functional coverage metrics.	[Moskala, Maciej; Kloczko, Patryk; Cieplucha, Marek; Pleskacz, Witold] Warsaw Univ Technol, Inst Microelect & Optoelect, Warsaw, Poland	Warsaw University of Technology	Moskala, M (corresponding author), Warsaw Univ Technol, Inst Microelect & Optoelect, Warsaw, Poland.	m.moskala@stud.elka.pw.edu.pl; p.kloczko@stud.elka.pw.edu.pl; m.cieplucha@imio.pw.edu.pl; w.pleskacz@imio.pw.edu.pl			Polish National Centre for Research and Development [DOBR/0053/R/ID1/2013/03]	Polish National Centre for Research and Development	This work was supported by the Polish National Centre for Research and Development under project No. DOBR/0053/R/ID1/2013/03.		4	3	3	1	5	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2334-3133		978-1-4799-6780-3	IEEE INT SYMP DESIGN			2015							123	124		10.1109/DDECS.2015.48	http://dx.doi.org/10.1109/DDECS.2015.48			2	Engineering, Electrical & Electronic	Emerging Sources Citation Index (ESCI); Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BS4IC					2023-06-19	WOS:000719414800025
C	Mouris, BA; Elshennawy, W; Petridis, P; Ding, Y; Daskalakis, SN			IEEE	Mouris, Boules A.; Elshennawy, Wael; Petridis, Panagiotis; Ding, Yuan; Daskalakis, Spyridon N.			Rectenna for Bluetooth Low Energy Applications	2019 IEEE MTT-S WIRELESS POWER TRANSFER CONFERENCE (WPTC) / IEEE PELS WORKSHOP ON EMERGING TECHNOLOGIES: WIRELESS POWER (WOW) / WIRELESS POWER WEEK (WPW 2019)	IEEE Wireless Power Transfer Conference		English	Proceedings Paper	IEEE MTT-S Wireless Power Transfer Conference (WPTC) / IEEE PELS Workshop on Emerging Technologies - Wireless Power (WoW) / Wireless Power Week Conference	JUN 17-21, 2019	London, ENGLAND	IEEE, IEEE Power Elect Soc, MTT S, Imperial Coll London, Eindhoven Univ Technol		Rectenna; Energy Harvesting; Bluetooth Low Energy (BLE)		In this paper, we propose an efficient rectenna design for Bluetooth low energy (BLE) applications targeting the 2.4 GHz ISM band. A miniature meandered planar Inverted-F antenna (MIFA) was designed, simulated, fabricated, and measured, achieving good matching with small profile. In addition, a single diode rectifier circuit was optimized at -20 dBm input power to convert the radio frequency (RF) energy captured by the antenna into DC power. Simulation results for the rectifier circuit show that it maintains a high RF-to-DC conversion efficiency. Using ideal components, an efficiency of 36% can be achieved at -20 dBm input power. When the non-idealities are considered in the rectifier, an efficiency of 20% at -20 dBm input power can be obtained.	[Mouris, Boules A.] KTH Royal Inst Technol, Div Informat Sci & Engn, Stockholm, Sweden; [Elshennawy, Wael] Orange Business Serv, Cairo, Egypt; [Petridis, Panagiotis; Ding, Yuan; Daskalakis, Spyridon N.] Heriot Watt Univ, Inst Sensors Signals & Syst, Edinburgh, Midlothian, Scotland	Royal Institute of Technology; Heriot Watt University	Mouris, BA (corresponding author), KTH Royal Inst Technol, Div Informat Sci & Engn, Stockholm, Sweden.	boules@kth.se; wael.elshennawy@orange.com; pp51@hw.ac.uk; yuan.ding@hw.ac.uk; sd70@hw.ac.uk	Daskalakis, Spyridon Nektarios/ABI-2860-2020						5	0	0	1	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2474-0225		978-1-7281-0705-9	IEEE WIREL POWER TRA			2019							508	511						4	Energy & Fuels; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Energy & Fuels; Engineering	BP9LD					2023-06-19	WOS:000569531100112
C	Zaim, D; Bellafkih, M			IEEE	Zaim, Dalai; Bellafkih, Mostafa			Bluetooth Low Energy (BLE) Based Geomarketing System	2016 11TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS: THEORIES AND APPLICATIONS (SITA)	International Conference on Intelligent Systems, Theories and Applications		English	Proceedings Paper	11th International Conference on Intelligent Systems - Theories and Applications (SITA)	OCT 19-20, 2016	Mohammedia, MOROCCO	IEEE, Univ Hassan Casablanca, IEEE Morocco Sect, Fac Sci Tech Mohammedia		Bluetooth Low Energy; Geomarketing; Beacon; Trajectory; Triangulation; Geolocalisation		With the huge advances in the field of wireless communication technologies and the availability of large volume of data on customers, it becomes imperative to develop a system that can be used in shopping center to make shopping more enjoyable and efficient for the customer and the monitoring real-time easier for the store's management. A Geomarketing system based on Bluetooth Low Energy (BLE) is developed. This BLE-based system consists of three key components (i) Server component (ii) smartphone component, and (iii) beacons (BLE). The smartphone application detects the location of customers by using BLE technology, this data will be transferred to server component by WIFI, and the server application sends personalized promotions such as mobile advertisements or e-coupons to customers' smartphones. In this paper, a highly scalable marketing system using Beacon and the smartphone applicationwas built to send push notifications to users based on the current location of customer inside the mall. Content was provided to people in order to increase sales. This work aims to demonstrate that the geomarketing system is able to detect the location of the customer, transmit the location's data via WIFI, display personalized promotions in a smartphone. The results show that implementation of Bluetooth Low Energy (BLE) technology in this system highly reduces the power consumption of the long-term monitoring system.	[Zaim, Dalai; Bellafkih, Mostafa] Natl Inst Posts & Telecommun, Networks Informat & Math Dept, INPT, Rabat, Morocco		Zaim, D (corresponding author), Natl Inst Posts & Telecommun, Networks Informat & Math Dept, INPT, Rabat, Morocco.	dallalzaim@gmail.com; bellafkih@inpt.ac.ma							10	3	3	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2378-2528		978-1-5090-5781-8	INT CONF INTELL SYS			2016														6	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BG7LH					2023-06-19	WOS:000391420300008
J	Luo, BQ; Gao, JC; Sun, ZX				Luo, Bingqing; Gao, Jincheng; Sun, Zhixin			Energy Modeling of Neighbor Discovery in Bluetooth Low Energy Networks	SENSORS			English	Article						Bluetooth low energy; neighbor discovery; energy consumption analysis; Internet of Things		Given that current Internet of Things (IoT) applications employ many different sensors to provide information, a large number of the Bluetooth low energy (BLE) devices will be developed for IoT systems. Developing low-power and low-cost BLE advertisers is one of most challenging tasks for supporting the neighbor discovery process (NDP) of such a large number of BLE devices. Since the parameter setting is essential to achieve the required performance for the NDP, an energy model of neighbor discovery in BLE networks can provide beneficial guidance when determining some significant parameter metrics, such as the advertising interval, scan interval, and scan window. In this paper, we propose a new analytical model to characterize the energy consumption using all possible parameter settings during the NDP in BLE networks. In this model, the energy consumption is derived based on the Chinese remainder theorem (CRT) for an advertising event and a scanning event during the BLE NDP. In addition, a real testbed is set up to measure the energy consumption. The measurement and experimental results reveal the relationship between the average energy consumption and the key parameters. On the basis of this model, beneficial guidelines for BLE network configuration are presented to help choose the proper parameters to optimize the power consumption for a given IoT application.	[Luo, Bingqing; Gao, Jincheng] Nanjing Univ Posts & Telecommun, Jiangsu Key Lab Big Data Secur & Intelligent Proc, Nanjing 210023, Jiangsu, Peoples R China; [Sun, Zhixin] Nanjing Univ Posts & Telecommun, Lab Broadband Wireless Commun & Sensor Network Te, Nanjing 210003, Jiangsu, Peoples R China	Nanjing University of Posts & Telecommunications; Nanjing University of Posts & Telecommunications	Sun, ZX (corresponding author), Nanjing Univ Posts & Telecommun, Lab Broadband Wireless Commun & Sensor Network Te, Nanjing 210003, Jiangsu, Peoples R China.	luobq@njupt.edu.cn; gaojincheng98@126.com; sunzx@njupt.edu.cn			"Research of Neighbor Discovery Mechanism for Bluetooth Low Energy Mesh Network based on 6LoBLE" project by National Natural Science Foundation of China [61702281]; China Scholarship Council; National Natural Science Foundation of China [61672299]	"Research of Neighbor Discovery Mechanism for Bluetooth Low Energy Mesh Network based on 6LoBLE" project by National Natural Science Foundation of China; China Scholarship Council(China Scholarship Council); National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))	This research is funded by "Research of Neighbor Discovery Mechanism for Bluetooth Low Energy Mesh Network based on 6LoBLE" project by National Natural Science Foundation of China(No. 61702281), the State Scholarship fund by China Scholarship Council and "The abnormal flow detection method research in Software defines big data network" project by National Natural Science Foundation of China(No. 61672299).		19	1	1	0	6	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		1424-8220		SENSORS-BASEL	Sensors	NOV	2019	19	22							4997	10.3390/s19224997	http://dx.doi.org/10.3390/s19224997			13	Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Engineering; Instruments & Instrumentation	JW9QY	31744103	Green Published, gold			2023-06-19	WOS:000503381500175
C	Zachariah, T; Clark, M; Dutta, P			ACM	Zachariah, Thomas; Clark, Meghan; Dutta, Prabal			Bluetooth Low Energy in the Wild Dataset	PROCEEDINGS OF THE FIRST WORKSHOP ON DATA ACQUISITION TO ANALYSIS (DATA '18)			English	Proceedings Paper	1st International Workshop on Data - Acquisition To Analysis (DATA)	NOV 04, 2018	Shenzhen, PEOPLES R CHINA	Assoc Comp Machinery		Internet of Things; Bluetooth Low Energy; Services; Characteristics		In 2015, we performed a study to learn which Bluetooth Low Energy peripheral devices were most prevalent among consumers, as well as which services these devices provided and utilized in practice. Additionally, we sought to investigate the real-world usage of standard Bluetooth services versus custom protocols among developers. The study involved a continuous month-long scan taken on two floors of an academic building. The resulting dataset consists of scan results from approximately 3000 unique devices.	[Zachariah, Thomas; Clark, Meghan; Dutta, Prabal] Univ Calif Berkeley, Berkeley, CA 94720 USA	University of California System; University of California Berkeley	Zachariah, T (corresponding author), Univ Calif Berkeley, Berkeley, CA 94720 USA.	tzachari@berkeley.edu; mclarkk@berkeley.edu; prabal@berkeley.edu		Clark, Meghan/0000-0002-4634-4488	CONIX Research Center - DARPA; TerraSwarm Research Center; National Science Foundation [CNS-1111541, CNS-1239031, CNS-1350967, CNS-1824277]; NSF/Intel Partnership on CPS Security and Privacy	CONIX Research Center - DARPA; TerraSwarm Research Center; National Science Foundation(National Science Foundation (NSF)); NSF/Intel Partnership on CPS Security and Privacy	This work was supported in part by the CONIX Research Center, one of six centers in JUMP, a Semiconductor Research Corporation (SRC) program sponsored by DARPA, as well as the TerraSwarm Research Center. This material is based upon work partially supported by the National Science Foundation under the NSF Graduate Research Fellowship and grants CNS-1111541, CNS-1239031, CNS-1350967, and CNS-1824277, as well as by the NSF/Intel Partnership on CPS Security and Privacy.		2	0	0	0	0	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-6049-4				2018							27	28		10.1145/3277868.3277882	http://dx.doi.org/10.1145/3277868.3277882			2	Computer Science, Software Engineering; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BO3MM		Bronze			2023-06-19	WOS:000510907400014
C	Yu, B; Xu, LS; Li, YX			IEEE	Yu, Bin; Xu, Lisheng; Li, Yongxu			Bluetooth Low Energy (BLE) Based Mobile Electrocardiogram Monitoring System	PROCEEDING OF THE IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION			English	Proceedings Paper	IEEE International Conference on Information and Automation (ICIA)	JUN 06-08, 2012	Shenyang, PEOPLES R CHINA	IEEE		Bluetooth Low Energy (BLE); Smart-phone; ECG; Wireless		A wireless electrocardiogram (ECG) monitoring system is developed which integrates Bluetooth Low Energy (BLE) technology. This BLE-based system is comprised of a single-chip ECG signal acquisition module, a Bluetooth module and a smart-phone. Apple's iPhone 4S is selected as the mobile device platform, which embedded with Bluetooth v4.0, Wi-Fi and iOS. In this paper, the monitoring system is able to acquire ECG signals through 2-lead electrocardiogram (ECG) sensor, transmit the ECG data via the Bluetooth wireless link, process and display the ECG waveform in a smart-phone. The results show that implementation of Bluetooth Low Energy (BLE) technology in the existing ECG monitoring system not only eliminates the physical constraints imposed by hard-wired link but also highly reduces the power consumption of the long-term monitoring system.	[Yu, Bin; Xu, Lisheng; Li, Yongxu] Northeastern Univ, Sina Dutch Biomed & Informat Engn Sch, Shenyang, Liaoning Provin, Peoples R China	Northeastern University - China	Yu, B (corresponding author), Northeastern Univ, Sina Dutch Biomed & Informat Engn Sch, Shenyang, Liaoning Provin, Peoples R China.	boklee@126.com	Xu, Lisheng/AAX-7181-2020	Xu, Lisheng/0000-0001-8360-3605					6	70	74	0	12	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-2237-9				2012							763	767						5	Automation & Control Systems; Computer Science, Information Systems	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science	BEZ52					2023-06-19	WOS:000318899300137
J	Park, H; Noh, J; Cho, S				Park, Hyunwook; Noh, Jaewon; Cho, Sunghyun			Three-dimensional positioning system using Bluetooth low-energy beacons	INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS			English	Article						Three-dimensional network; positioning system; triangulation; Bluetooth low energy		Bluetooth low-energy-based beacons have two different roles: "broadcasting" (by beacon device) and "receiving" (by sensing devices). It allows devices to receive information over a short distance. Thus, many researchers are actively investigating positioning methods that use beacons. However, the distance value of positioning in the existing methods is not always accurate. This article proposes a novel three-dimensional positioning system using Bluetooth low-energy-based beacons. While the conventional methods measure distances by obtaining two-dimensional coordinates (x, y) through the received signal strength indicator value, the proposed method improves the measurement accuracy by obtaining three-dimensional coordinate values (x, y, z). Finally, while comparing the performance of this new method with that of existing methods, the proposed three-dimensional positioning system reduces the positioning error rate by 27.3% compared to the existing two-dimensional triangulation method.	[Park, Hyunwook; Noh, Jaewon; Cho, Sunghyun] Hanyang Univ, Dept Comp Sci & Engn, Ansan 15588, Gyeonggi Do, South Korea	Hanyang University	Cho, S (corresponding author), Hanyang Univ, Dept Comp Sci & Engn, Ansan 15588, Gyeonggi Do, South Korea.	chopro@hanyang.ac.kr			Signal Intelligence Research Center; Agency for Defense Development of Korea	Signal Intelligence Research Center; Agency for Defense Development of Korea	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the research fund of Signal Intelligence Research Center supervised by the Defense Acquisition Program Administration and Agency for Defense Development of Korea.		13	4	5	1	13	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1550-1477			INT J DISTRIB SENS N	Int. J. Distrib. Sens. Netw.	OCT	2016	12	10							1550147716671720	10.1177/1550147716671720	http://dx.doi.org/10.1177/1550147716671720			11	Computer Science, Information Systems; Telecommunications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Telecommunications	EB6IX		gold			2023-06-19	WOS:000387486800001
